name, birth_year, genre
Aimee_Mayo other, 1971, other
Akinyele_(rapper) other, 1970, other
Al_%22Carnival_Time%22_Johnson other, 1939, other
Al_Anderson_(NRBQ) other, 1947, other
Al_Bell other, 1940, other
Al_Di_Meola other, 1954, other
Al_Sarrantonio other, 1952, other
Al_Sarrantonio science_fiction, 1952, science_fiction
Al_Sarrantonio fantasy, 1952, fantasy
Al_Trace other, 1900, other
Alain_Elkann other, 1950, other
Alan_Ansen poetry, 1922, poetry
Alan_Ansen other, 1922, other
Alan_Chang other, 1979, other
Alan_M._Clark other, 1957, other
Alan_M._Clark fantasy, 1957, fantasy
Alan_Pizzarelli other, 1950, other
Alastair_Moock other, 1973, other
Bamboo_Mañalac other, 1978, other
Banks_(singer) other, 1988, other
Barbara_Acklin other, 1943, other
Barbara_Delinsky other, 1945, other
Barbara_Faith romance, 1921, romance
Barbara_Jane_Reyes poetry, 1971, poetry
Barbara_Wood other, 1947, other
Barbara_Wood romance, 1947, romance
Bari_Wood other, 1936, other
Bari_Wood science_fiction, 1936, science_fiction
Barry_De_Vorzon other, 1934, other
Barry_Lopez other, 1945, other
Barry_Lyga other, 1971, other
Barry_Manilow other, 1943, other
Barry_O'Brien other, 1959, other
Barry_White other, 1944, other
Bart_Millard other, 1972, other
Barton_Paul_Levenson science_fiction, 1960, science_fiction
Barton_Paul_Levenson fantasy, 1960, fantasy
Basil_Wells other, 1912, other
Basil_Wells science_fiction, 1912, science_fiction
Basil_Wells fantasy, 1912, fantasy
Beau_Dollar other, 1941, other
Beau_Dozier other, 1979, other
Beau_Vallis_(singer) other, 1992, other
Bebel_Gilberto other, 1966, other
Becca_(musician) other, 1989, other
Beckah_Shae other, 1978, other
Becky_Hobbs other, 1950, other
Belinda_Rio other, 1971, other
Ben_Belitt poetry, 1911, poetry
Ben_Cauley other, 1947, other
Ben_Coes other, 1966, other
Ben_Cooper_(musician) other, 1982, other
Ben_Dolnick other, 1982, other
Ben_E._King other, 1938, other
Ben_Keith other, 1937, other
Ben_Loory other, 1971, other
Ben_Loory fantasy, 1971, fantasy
Ben_Parris science_fiction, 1961, science_fiction
Ben_Rector other, 1986, other
Ben_Weaver other, 1980, other
Benita_Farmer other, 1975, other
Benito_Pastoriza_Iyodo poetry, 1954, poetry
Benjamin_Barber other, 1939, other
Benjamin_Goldwasser other, 1982, other
Benjamin_Martin_(author) other, 1984, other
Benjamin_Martin_(author) fantasy, 1984, fantasy
Bennett_Madison other, 1981, other
Benny_Blanco other, 1988, other
Benny_Mardones other, 1946, other
Bernard_Fowler other, 1950, other
Bernard_Malamud other, 1914, other
Bernie_West other, 1918, other
Berry_Gordy other, 1929, other
Berton_Roueché other, 1910, other
Bertrice_Small other, 1937, other
Bertrice_Small romance, 1937, romance
Beth_Ditto other, 1981, other
Beth_Gylys poetry, 1964, poetry
Beth_Meacham science_fiction, 1951, science_fiction
Beth_Nielsen_Chapman other, 1958, other
Betsy_Lewin other, 1937, other
Bette_Greene other, 1934, other
Betty_Lasky other, 1922, other
Betty_Ren_Wright other, 1927, other
Bev_Vincent other, 1961, other
Bev_Vincent science_fiction, 1961, science_fiction
Big_Boi other, 1975, other
Big_Joe_Duskin other, 1921, other
Big_Joe_Maher other, 1964, other
Bill_Adler other, 1951, other
Bill_Bryson other, 1951, other
Bill_Cameron_(mystery_author) other, 1963, other
Bill_Carlisle other, 1908, other
Bill_Chinnock other, 1947, other
Bill_Deasy other, 1966, other
Bill_Dickens other, 1958, other
Bill_Kelliher other, 1971, other
Bill_Knott_(poet) poetry, 1940, poetry
Bill_Pottle fantasy, 1978, fantasy
Bill_Staines other, 1947, other
